player_id,player_name,position,pre_draft_alpha,post_draft_alpha,post_draft_delta,draft_round,draft_pick,team,talent_confirmation_signal,opportunity_insulation_signal,short_term_fantasy_runway,source_profile,source_status,delta_reason_codes,translator_tags,remaining_risks,team_context_found,team_context_tags,positive_team_context_tags,risk_team_context_tags,team_context_notes,team_context_source_status,team_context_team_code,combined_context_tags,combined_risk_tags
wr-chris-bell,Chris Bell,WR,56.9,55.6,-1.3,3,94,Dolphins,moderate,limited,strong,day2,operator_seeded,talent_confirmation:round3_skill_capital|opportunity_insulation:signal_bonus|risk:target_room_competition_watch|risk:year1_volume_uncertainty,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited|dolphins_multi_pass_catcher_investment,Multiple Day 2 Dolphins pass-catcher additions can constrain Year 1 target share.|Role clarity may take time to settle across a crowded pass-catching room.,True,speed_space_environment|target_competition_cluster|role_assignment_uncertainty,speed_space_environment,target_competition_cluster|role_assignment_uncertainty,team_context_joined:MIA,operator_seeded_unknown,MIA,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited|dolphins_multi_pass_catcher_investment|speed_space_environment|target_competition_cluster|role_assignment_uncertainty,Multiple Day 2 Dolphins pass-catcher additions can constrain Year 1 target share.|Role clarity may take time to settle across a crowded pass-catching room.|target_competition_cluster|role_assignment_uncertainty
wr-antonio-williams,Antonio Williams,WR,56.8,55.5,-1.3,3,71,Commanders,moderate,limited,strong,day2,operator_seeded,talent_confirmation:round3_skill_capital|opportunity_insulation:signal_bonus|risk:target_room_competition_watch|risk:year1_volume_uncertainty,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited,Target hierarchy outcomes can compress early route and volume certainty.|Round 3 capital creates more replacement risk than Round 2/1 outcomes.,True,jayden_daniels_environment|high_upside_offense|available_target_opportunity|role_projection_uncertainty,jayden_daniels_environment|high_upside_offense|available_target_opportunity,role_projection_uncertainty,team_context_joined:WAS,operator_seeded_unknown,WAS,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited|jayden_daniels_environment|high_upside_offense|available_target_opportunity|role_projection_uncertainty,Target hierarchy outcomes can compress early route and volume certainty.|Round 3 capital creates more replacement risk than Round 2/1 outcomes.|role_projection_uncertainty
wr-dezhaun-stribling,De'Zhaun Stribling,WR,47.5,54.5,7.0,2,33,49ers,strong,moderate,strong,day2,operator_seeded,talent_confirmation:near_round1_skill_capital|talent_confirmation:early_day2_capital|talent_confirmation:round2_skill_capital|opportunity_insulation:signal_bonus|risk:target_room_competition_watch|risk:year1_volume_uncertainty|risk:opportunity_insulation_cap,day2_capital|round2_capital|early_day2_capital|near_round1_skill_capital|round2_skill_capital|round2_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_moderate|shanahan_role_translation_watch|athletic_profile_boost,Target competition and role clarity in the 49ers pass-catching room can cap early volume certainty.|Day 2 WR capital remains less insulated than Round 1 investment if early usage is volatile.,True,shanahan_efficiency_environment|yac_creation_scheme|low_pass_volume_risk|role_specific_usage_dependency|day2_49ers_skill_pick_hit_rate_caution,shanahan_efficiency_environment|yac_creation_scheme,low_pass_volume_risk|role_specific_usage_dependency|day2_49ers_skill_pick_hit_rate_caution,team_context_joined:SF,operator_seeded_unknown,SF,day2_capital|round2_capital|early_day2_capital|near_round1_skill_capital|round2_skill_capital|round2_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_moderate|shanahan_role_translation_watch|athletic_profile_boost|shanahan_efficiency_environment|yac_creation_scheme|low_pass_volume_risk|role_specific_usage_dependency|day2_49ers_skill_pick_hit_rate_caution,Target competition and role clarity in the 49ers pass-catching room can cap early volume certainty.|Day 2 WR capital remains less insulated than Round 1 investment if early usage is volatile.|low_pass_volume_risk|role_specific_usage_dependency|day2_49ers_skill_pick_hit_rate_caution
wr-ted-hurst,Ted Hurst,WR,55.7,54.4,-1.3,3,84,Buccaneers,moderate,limited,strong,day2,operator_seeded,talent_confirmation:round3_skill_capital|opportunity_insulation:signal_bonus|risk:target_room_competition_watch|risk:year1_volume_uncertainty,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited,Target hierarchy uncertainty can cap early route-share confidence.|Round 3 runway can narrow if role specialization is slow to materialize.,True,stable_playcaller_continuity|vertical_passing_upside|target_competition_cluster|role_assignment_uncertainty,stable_playcaller_continuity|vertical_passing_upside,target_competition_cluster|role_assignment_uncertainty,team_context_joined:TB,operator_seeded_unknown,TB,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited|stable_playcaller_continuity|vertical_passing_upside|target_competition_cluster|role_assignment_uncertainty,Target hierarchy uncertainty can cap early route-share confidence.|Round 3 runway can narrow if role specialization is slow to materialize.|target_competition_cluster|role_assignment_uncertainty
te-max-klare,Max Klare,TE,50.8,53.8,3.0,2,61,Rams,moderate,moderate,delayed,day2,operator_seeded,talent_confirmation:round2_skill_capital|talent_confirmation:day2_te_cluster|opportunity_insulation:signal_bonus|risk:delayed_te_translation_watch|risk:opportunity_insulation_cap,day2_capital|round2_capital|round2_skill_capital|round2_te_capital|day2_te_cluster|te_market_push|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_moderate,Year 1 role could skew rotational while route-responsibility grows.|TE development arc can limit early-week fantasy predictability.,True,mcvay_developmental_environment|efficient_passing_environment|heavy_personnel_role_watch|veteran_depth_chart_block|delayed_start_path|role_specific_usage_dependency,mcvay_developmental_environment|efficient_passing_environment|heavy_personnel_role_watch,veteran_depth_chart_block|delayed_start_path|role_specific_usage_dependency,team_context_joined:LAR,operator_seeded_unknown,LAR,day2_capital|round2_capital|round2_skill_capital|round2_te_capital|day2_te_cluster|te_market_push|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_moderate|mcvay_developmental_environment|efficient_passing_environment|heavy_personnel_role_watch|veteran_depth_chart_block|delayed_start_path|role_specific_usage_dependency,Year 1 role could skew rotational while route-responsibility grows.|TE development arc can limit early-week fantasy predictability.|veteran_depth_chart_block|delayed_start_path|role_specific_usage_dependency
wr-chris-brazzell-ii,Chris Brazzell II,WR,52.5,51.2,-1.3,3,83,Panthers,moderate,limited,strong,day2,operator_seeded,talent_confirmation:round3_skill_capital|opportunity_insulation:signal_bonus|risk:target_room_competition_watch|risk:year1_volume_uncertainty,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited,Competition for vertical/secondary targets can compress weekly volume floor.|Role volatility may persist until route tree and deployment stabilize.,True,young_offense_growth_path|playmaker_deployment_upside|qb_environment_uncertainty|overall_offense_floor_risk,young_offense_growth_path|playmaker_deployment_upside,qb_environment_uncertainty|overall_offense_floor_risk,team_context_joined:CAR,operator_seeded_unknown,CAR,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited|young_offense_growth_path|playmaker_deployment_upside|qb_environment_uncertainty|overall_offense_floor_risk,Competition for vertical/secondary targets can compress weekly volume floor.|Role volatility may persist until route tree and deployment stabilize.|qb_environment_uncertainty|overall_offense_floor_risk
te-eli-raridon,Eli Raridon,TE,48.0,49.1,1.1,3,95,Patriots,mixed,limited,delayed,day2,operator_seeded,talent_confirmation:round3_skill_capital|opportunity_insulation:signal_bonus|risk:delayed_te_translation_watch,day2_capital|round3_capital|round3_skill_capital|round3_te_capital|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_limited,TE transition timeline can delay sustained fantasy relevance.|Role translation risk remains elevated until route and target usage stabilizes.,True,rookie_usage_runway|scheme_rebuild_opportunity|offense_environment_uncertainty|target_distribution_volatility,rookie_usage_runway|scheme_rebuild_opportunity,offense_environment_uncertainty|target_distribution_volatility,team_context_joined:NE,operator_seeded_unknown,NE,day2_capital|round3_capital|round3_skill_capital|round3_te_capital|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_limited|rookie_usage_runway|scheme_rebuild_opportunity|offense_environment_uncertainty|target_distribution_volatility,TE transition timeline can delay sustained fantasy relevance.|Role translation risk remains elevated until route and target usage stabilizes.|offense_environment_uncertainty|target_distribution_volatility
qb-carson-beck,Carson Beck,QB,45.0,47.0,2.0,3,65,Cardinals,mixed,limited,delayed,day2,operator_seeded,talent_confirmation:round3_skill_capital|talent_confirmation:round3_qb_capital|opportunity_insulation:signal_bonus|risk:developmental_qb_capital|risk:opportunity_insulation_cap,day2_capital|round3_capital|round3_skill_capital|round3_qb_capital|developmental_qb_capital|delayed_start_path|qb_room_context_required|role_path_review|opportunity_insulation_limited,Day 3-adjacent quarterback capital can produce fragile organizational patience.|Starting timeline and QB-room hierarchy are still context-dependent.,True,creative_space_usage|year2_offense_continuity|target_concentration_ahead|role_competition_risk,creative_space_usage|year2_offense_continuity,target_concentration_ahead|role_competition_risk,team_context_joined:ARI,operator_seeded_unknown,ARI,day2_capital|round3_capital|round3_skill_capital|round3_qb_capital|developmental_qb_capital|delayed_start_path|qb_room_context_required|role_path_review|opportunity_insulation_limited|creative_space_usage|year2_offense_continuity|target_concentration_ahead|role_competition_risk,Day 3-adjacent quarterback capital can produce fragile organizational patience.|Starting timeline and QB-room hierarchy are still context-dependent.|target_concentration_ahead|role_competition_risk
te-nate-boerkircher,Nate Boerkircher,TE,43.4,46.4,3.0,2,56,Jaguars,moderate,moderate,delayed,day2,operator_seeded,talent_confirmation:round2_skill_capital|talent_confirmation:day2_te_cluster|opportunity_insulation:signal_bonus|risk:delayed_te_translation_watch|risk:opportunity_insulation_cap,day2_capital|round2_capital|round2_skill_capital|round2_te_capital|day2_te_cluster|te_market_push|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_moderate,Role may open as blocking/rotational usage before high-value targets consolidate.|TE translation timelines can delay dependable fantasy output.,True,data_savvy_org_validation|late_round_te_watch|round5_insulation_risk|depth_chart_path_uncertain|delayed_te_translation_watch,data_savvy_org_validation|late_round_te_watch,round5_insulation_risk|depth_chart_path_uncertain|delayed_te_translation_watch,team_context_joined:JAX,operator_seeded_unknown,JAX,day2_capital|round2_capital|round2_skill_capital|round2_te_capital|day2_te_cluster|te_market_push|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_moderate|data_savvy_org_validation|late_round_te_watch|round5_insulation_risk|depth_chart_path_uncertain,Role may open as blocking/rotational usage before high-value targets consolidate.|TE translation timelines can delay dependable fantasy output.|round5_insulation_risk|depth_chart_path_uncertain|delayed_te_translation_watch
te-oscar-delp,Oscar Delp,TE,42.1,43.2,1.1,3,73,Saints,mixed,limited,delayed,day2,operator_seeded,talent_confirmation:round3_skill_capital|opportunity_insulation:signal_bonus|risk:delayed_te_translation_watch,day2_capital|round3_capital|round3_skill_capital|round3_te_capital|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_limited,Initial role can tilt toward rotational responsibilities.|Delayed TE earning curve can hold down early fantasy usability.,True,pace_boost_candidate|pass_environment_upside|qb_context_uncertainty|scheme_transition_variance,pace_boost_candidate|pass_environment_upside,qb_context_uncertainty|scheme_transition_variance,team_context_joined:NO,operator_seeded_unknown,NO,day2_capital|round3_capital|round3_skill_capital|round3_te_capital|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_limited|pace_boost_candidate|pass_environment_upside|qb_context_uncertainty|scheme_transition_variance,Initial role can tilt toward rotational responsibilities.|Delayed TE earning curve can hold down early fantasy usability.|qb_context_uncertainty|scheme_transition_variance
