canonical_player_id,gsis_id,player_name,position,college,draft_round,overall_pick,draft_team,coverage_classification,standalone_card_renderable,source_lineage_complete,historical_model_inputs_reproducible,nfl_outcome_rows_available,gaps_blocking_reconstruction
qb-stetson-bennett,00-0039107,Stetson Bennett,QB,Georgia,4,128,LAR,missing,False,False,no,0,No in-repo artifact contains this player. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
wr-charlie-jones,00-0038576,Charlie Jones,WR,Purdue,4,131,CIN,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-tyler-scott,00-0038941,Tyler Scott,WR,Cincinnati,4,133,CHI,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
qb-aidan-oconnell,00-0038579,Aidan O'Connell,QB,Purdue,4,135,LVR,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
qb-clayton-tune,00-0038582,Clayton Tune,QB,Houston,5,139,ARI,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
qb-dorian-thompson-robinson,00-0038583,Dorian Thompson-Robinson,QB,UCLA,5,140,CLE,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
rb-israel-abanikanda,00-0038389,Israel Abanikanda,RB,Pittsburgh,5,143,NYJ,reference_only,False,True,partial,1,Appears only in reference/outcome rows; no model-input coverage.
te-josh-whyle,00-0038589,Josh Whyle,TE,Cincinnati,5,147,TEN,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
qb-sean-clifford,00-0038391,Sean Clifford,QB,Penn St.,5,149,GNB,reference_only,False,False,no,1,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
wr-justin-shorter,00-0038590,Justin Shorter,WR,Florida,5,150,BUF,partial_reconstructable,False,True,partial,0,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-dontayvion-wicks,00-0038393,Dontayvion Wicks,WR,Virginia,5,159,GNB,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
te-will-mallory,00-0038394,Will Mallory,TE,Miami (FL),5,162,IND,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
rb-chase-brown,00-0038597,Chase Brown,RB,Illinois,5,163,CIN,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
qb-jaren-hall,00-0038598,Jaren Hall,QB,BYU,5,164,MIN,reference_only,False,False,no,1,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
te-payne-durham,00-0039050,Payne Durham,TE,Purdue,5,171,TAM,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
rb-eric-gray,00-0038396,Eric Gray,RB,Oklahoma,5,172,NYG,reference_only,False,True,partial,2,Appears only in reference/outcome rows; no model-input coverage.
te-davis-allen,00-0039074,Davis Allen,TE,Clemson,5,175,LAR,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
rb-evan-hull,00-0038397,Evan Hull,RB,Northwestern,5,176,IND,partial_reconstructable,False,True,partial,1,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-puka-nacua,00-0039075,Puka Nacua,WR,BYU,5,177,LAR,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
wr-parker-washington,00-0038606,Parker Washington,WR,Penn St.,6,185,JAX,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
wr-kayshon-boutte,00-0038608,Kayshon Boutte,WR,LSU,6,187,NWE,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
qb-tanner-mckee,00-0038400,Tanner McKee,QB,Stanford,6,188,PHI,reference_only,False,False,no,1,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
wr-trey-palmer,00-0039052,Trey Palmer,WR,Nebraska,6,191,TAM,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
rb-chris-rodriguez,00-0038611,Chris Rodriguez,RB,Kentucky,6,193,WAS,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage.
wr-a-t-perry,00-0038612,A.T. Perry,WR,Wake Forest,6,195,NOR,reference_only,False,True,partial,1,Appears only in reference/outcome rows; no model-input coverage.
wr-elijah-higgins,00-0039041,Elijah Higgins,WR,Stanford,6,197,MIA,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-xavier-hutchinson,00-0038618,Xavier Hutchinson,WR,Iowa St.,6,205,HOU,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-andrei-iosivas,00-0038619,Andrei Iosivas,WR,Princeton,6,206,CIN,reference_only,False,False,partial,2,Appears only in reference/outcome rows; no model-input coverage.
wr-demario-douglas,00-0038621,DeMario Douglas,WR,Liberty,6,210,NWE,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
rb-deuce-vaughn,00-0038622,Deuce Vaughn,RB,Kansas St.,6,212,DAL,reference_only,False,True,partial,2,Appears only in reference/outcome rows; no model-input coverage.
rb-zach-evans,00-0039136,Zach Evans,RB,Mississippi,6,215,LAR,reference_only,False,False,no,1,Appears only in reference/outcome rows; no model-input coverage.
wr-antoine-green,00-0038627,Antoine Green,WR,North Carolina,7,219,DET,partial_reconstructable,False,True,partial,1,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
te-zack-kuntz,00-0038406,Zack Kuntz,TE,Old Dominion,7,220,NYJ,partial_reconstructable,False,True,partial,0,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
rb-dewayne-mcbride,00-0039046,DeWayne McBride,RB,Ala-Birmingham,7,222,MIN,reference_only,False,False,no,0,Appears only in reference/outcome rows; no model-input coverage.
wr-colton-dowell,00-0038632,Colton Dowell,WR,UT Martin,7,228,TEN,reference_only,False,False,no,1,Appears only in reference/outcome rows; no model-input coverage.
rb-lew-nichols,00-0038409,Lew Nichols,RB,Central Michigan,7,235,GNB,reference_only,False,True,partial,0,Appears only in reference/outcome rows; no model-input coverage.
rb-kenny-mcintosh,00-0038636,Kenny McIntosh,RB,Georgia,7,237,SEA,partial_reconstructable,False,True,partial,1,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
qb-max-duggan,00-0038637,Max Duggan,QB,TCU,7,239,LAC,missing,False,False,no,0,No in-repo artifact contains this player. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
wr-jalen-brooks,00-0038640,Jalen Brooks,WR,South Carolina,7,244,DAL,reference_only,False,False,partial,2,Appears only in reference/outcome rows; no model-input coverage.
te-brayden-willis,00-0038643,Brayden Willis,TE,Oklahoma,7,247,SFO,reference_only,False,False,no,1,Appears only in reference/outcome rows; no model-input coverage. | TE reference population files exist but are empty.
wr-ronnie-bell,00-0038647,Ronnie Bell,WR,Michigan,7,253,SFO,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-grant-dubose,00-0038507,Grant Dubose,WR,Charlotte,7,256,GNB,partial_reconstructable,False,True,partial,1,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
